# SUS-MAT NRT TRAINING DATA - SKELETON VERSION
# Source: X-ray micro-CT scan sessions — GE v|tome|x L300
# Note: scan_id is assigned by scan order, NOT by specimen batch
scan_id,date,instrument,voltage_kV,current_uA,voxel_um,n_slices,software,threshold_method,operator,notes
CT-001,2024-03-18,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-002,2024-03-18,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-003,2024-03-18,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,slight stage drift
CT-004,2024-03-19,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-005,2024-03-19,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-006,2024-03-19,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-007,2024-03-19,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-008,2024-03-20,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-009,2024-03-20,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-010,2024-03-20,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,recalibrated before scan
CT-011,2024-03-21,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-012,2024-03-21,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-013,2024-03-21,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-014,2024-03-22,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-015,2024-03-22,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-016,2024-03-22,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-017,2024-03-25,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-018,2024-03-25,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-019,2024-03-25,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-020,2024-03-26,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-021,2024-03-26,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-022,2024-03-26,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-023,2024-03-27,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-024,2024-03-27,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-025,2024-03-27,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,power blip during scan
CT-026,2024-03-28,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-027,2024-03-28,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-028,2024-03-28,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-029,2024-03-29,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-030,2024-03-29,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
CT-031,2024-03-29,GE vtomex L300,120,60,7.5,100,AVIZO 2021.1,Otsu,P. Lai,
