# SUS-MAT NRT TRAINING DATA - SKELETON VERSION
# Source: PP/CaSO4 cold sintered composites — tensile testing per ASTM D638
# Instrument: Instron 5943, 100 N load cell, crosshead 0.5 mm/min
SID,T1,P,YM,El,HV,d_mean,comp_PP
PC-B01-S01,1.38,200,1.42,0.61,,98.3,43.2
PC-B01-S02,1.55,200,1.51,0.78,82.1,105.7,44.8
PC-B01-S03,1.61,200,1.49,0.82,80.5,101.2,45.1
PC-B01-S04,1.72,200,1.44,0.91,79.8,112.4,44.0
PC-B01-S05,1.48,200,1.53,0.70,81.3,97.6,43.9
PC-B02-S01,1.83,200,1.55,0.94,78.4,88.2,46.1
PC-B02-S02,1.69,200,1.48,0.85,80.0,95.3,45.5
PC-B02-S03,1.44,200,1.39,0.68,83.2,110.8,42.7
PC-B02-S04,1.91,200,1.57,1.02,77.6,82.4,47.2
PC-B02-S05,1.76,200,1.46,0.88,79.1,93.1,45.8
PC-B03-S01,1620,200,1.41,0.79,,102.5,44.3
PC-B03-S02,1.58,200,1.50,0.76,80.8,99.4,44.6
PC-B03-S03,1.35,200,1.38,0.59,84.1,115.3,42.1
PC-B03-S04,1.87,200,1.54,0.97,78.0,86.7,46.5
PC-B03-S05,1.63,200,1.47,0.83,80.2,100.8,44.9
PC-B03-S06,1.71,200,1.45,0.87,79.5,96.2,45.3
PC-B04-S01,2.05,200,1.60,1.12,76.3,78.5,48.1
PC-B04-S02,1.42,200,1.40,0.65,82.7,108.9,43.4
PC-B04-S03,1.94,200,1.56,1.05,77.2,84.1,47.0
PC-B04-S04,1.67,200,1.48,0.84,80.1,98.7,45.2
PC-B04-S05,1.53,200,1.43,0.73,81.6,104.2,44.1
PC-B05-S01,1.79,200,1.52,0.90,78.9,91.8,46.0
PC-B05-S02,1.46,200,1.41,0.67,82.4,107.3,43.5
PC-B05-S03,1.88,200,1.55,0.98,77.8,85.9,46.7
PC-B05-S04,1.60,200,1.47,0.81,80.4,101.6,44.7
PC-B05-S05,1.32,200,1.36,0.55,84.8,118.1,41.8
PC-B06-S01,1.74,200,1.50,0.89,79.3,94.5,45.6
PC-B06-S02,1.96,200,1.58,1.07,76.9,81.3,47.5
PC-B06-S03,1.51,200,1.44,0.74,81.1,103.5,44.2
PC-B06-S04,1.65,200,1.46,0.83,80.3,99.9,45.0
PC-B06-S05,1.82,200,1.53,0.93,78.6,90.2,46.3
